WWV_tone,WWV_power,WWV_freq_dev,WWVH_tone,WWVH_power,WWVH_freq_dev,Noise_power
600.0,0.017427267506718636,-0.17499999999995453,440.0,0.000304567685816437,59.825000000000045,2.313822e-06
440.0,1.1167159073011135e-06,39.67500000000001,600.0,2.772225684566365e-07,91.80000000000007,3.7879508e-06
600.0,3.346276002957893e-07,99.77500000000009,500.0,9.091081096812559e-07,-20.32499999999999,2.2347863e-06
500.0,2.7192321795155294e-05,-89.34999999999997,600.0,1.432864519301802e-05,-60.94999999999993,3.0743179e-06
600.0,0.03476216271519661,-0.25,500.0,0.03476216271519661,99.75,4.614924e-06
500.0,0.011793497018516064,-0.2249999999999659,600.0,0.00010917503823293373,-0.22500000000002274,1.6730138e-06
600.0,0.004150152672082186,-0.22500000000002274,500.0,0.004150152672082186,99.77499999999998,3.917124e-06
,,,,,,5.5214377e-06
,,,,,,5.1381103e-06
,,,,,,1.0827292e-05
600.0,0.16439762711524963,-0.125,500.0,0.16439762711524963,99.875,8.742308e-06
500.0,0.057382356375455856,-0.125,600.0,0.0004887001705355942,-0.125,1.9819033e-06
600.0,0.06981733441352844,-0.125,500.0,0.06981733441352844,99.875,7.4548134e-06
,,,,,,7.955206e-06
,,,,,,2.4912129e-06
500.0,0.010900087654590607,-0.2249999999999659,,,,2.2938698e-06
600.0,0.010338737629354,-0.25,,,,2.9910698e-06
,,,,,,3.4747993e-06
600.0,0.018690235912799835,-0.3249999999999318,,,,6.200701e-06
500.0,0.02943202294409275,-0.2999999999999545,600.0,0.0002377260389039293,-0.2999999999999545,9.923523e-06
600.0,0.04407912492752075,-0.27499999999997726,500.0,0.04407912492752075,99.72500000000002,1.4639724e-05
500.0,0.03963504731655121,-0.25,600.0,0.0002590525255072862,-0.25,1.0106908e-05
600.0,0.1505441963672638,-0.1999999999999318,500.0,0.1505441963672638,99.80000000000007,5.7484895e-06
500.0,0.12463630735874176,-0.17499999999995453,600.0,0.0011161165311932564,-0.17499999999995453,9.471828e-06
600.0,0.05503314733505249,-0.14999999999997726,500.0,0.05503314733505249,99.85000000000002,9.826552e-06
500.0,0.05620782449841499,-0.125,600.0,0.0005459740059450269,-0.125,5.102285e-06
600.0,0.08734697103500366,-0.125,500.0,0.08734697103500366,99.875,7.790838e-06
500.0,0.04326144978404045,-0.125,600.0,0.00045000118552707136,-0.125,6.8891322e-06
,,,,,,1.0517059e-05
,,,,,,4.868144e-06
600.0,0.02526986412703991,-0.07499999999993179,500.0,0.02526986412703991,99.92500000000007,2.2056859e-06
500.0,0.015703745186328888,-0.049999999999954525,600.0,0.00038380303885787725,-99.94999999999999,3.508651e-06
600.0,0.044354431331157684,-0.049999999999954525,500.0,0.044354431331157684,99.95000000000005,1.12637745e-05
500.0,0.11118563264608383,-0.049999999999954525,600.0,0.0010706427274271846,-100.0,7.898393e-06
600.0,0.027848027646541595,-0.07499999999993179,500.0,0.027848027646541595,99.92500000000007,4.778482e-06
500.0,0.023906594142317772,-0.0999999999999659,600.0,0.00024827622110024095,-0.10000000000002274,1.7292043e-06
600.0,0.01863306574523449,-0.125,500.0,0.01863306574523449,99.875,7.030544e-06
500.0,0.009024465456604958,-0.17499999999995453,600.0,0.00012956820137333125,-100.0,1.9000092e-06
600.0,0.05163406953215599,-0.22500000000002274,500.0,0.05163406953215599,99.77499999999998,2.604558e-06
500.0,0.02208011969923973,-0.2999999999999545,600.0,0.00260166241787374,-99.97499999999997,3.7021405e-06
600.0,0.02390574850142002,-0.35000000000002274,500.0,0.02390574850142002,99.64999999999998,2.8653694e-06
500.0,0.06255462765693665,-0.39999999999997726,600.0,0.0007331662927754223,-100.0,2.259451e-06
,,,500.0,1.171856979453878e-06,-20.549999999999955,1.005256e-05
,,,500.0,6.564430805156007e-06,-20.424999999999955,1.5450914e-05
,,,500.0,3.703843731273082e-06,-20.474999999999966,8.47497e-06
,,,600.0,7.50755305034545e-07,99.625,9.62971e-06
,,,500.0,7.709248166065663e-06,-20.349999999999966,1.0541897e-05
,,,500.0,4.0327167880604975e-06,-20.19999999999999,1.3052185e-05
,,,500.0,6.7734317781287245e-06,-20.224999999999966,1.4325953e-05
,,,500.0,2.7578562367125414e-06,-20.19999999999999,4.02273e-06
,,,500.0,2.69630959337519e-06,-20.274999999999977,5.973539e-06
500.0,3.0905678727322083e-07,-20.149999999999977,600.0,1.1112912545740983e-07,-60.125,2.9084347e-06
600.0,0.03822682425379753,-0.125,500.0,0.03822682425379753,99.875,7.431522e-06
500.0,0.056471869349479675,-0.125,600.0,0.000467658624984324,-0.125,4.075419e-06
600.0,0.02661818452179432,-0.125,500.0,0.02661818452179432,99.875,2.152671e-06
500.0,0.010108728893101215,-0.14999999999997726,600.0,0.00011138938862131909,-0.14999999999997726,1.9041435e-06
600.0,0.007151419762521982,-0.125,500.0,0.007151419762521982,99.875,1.1930737e-06
500.0,0.021596085280179977,-0.07499999999998863,600.0,0.00023186409089248627,-0.07499999999993179,3.5638916e-06
,,,,,,8.443003e-06
1000.0,1.3386461432673968e-05,-25.074999999999932,1200.0,4.960167188983178e-06,-93.07500000000005,6.622731e-06
600.0,0.09684831649065018,-0.049999999999954525,440.0,0.0014451089082285762,59.950000000000045,6.5570075e-06
440.0,0.0547979474067688,-0.024999999999977263,600.0,0.00046857219422236085,-60.02499999999998,5.0541794e-06
600.0,4.0677167589819874e-07,83.97500000000002,500.0,6.827004312981444e-07,-0.024999999999977263,4.4584535e-06
500.0,2.722239150898531e-05,-85.84999999999997,600.0,1.731179145281203e-05,-78.0,2.8962559e-06
600.0,0.02308296598494053,0.0,500.0,0.02308296598494053,100.0,5.5962278e-06
500.0,0.06754304468631744,0.0,600.0,0.06754304468631744,-100.0,1.0101925e-05
600.0,0.07632092386484146,0.0,500.0,0.07632092386484146,100.0,5.2030196e-06
,,,,,,4.8954803e-06
,,,,,,6.3252173e-06
,,,,,,1.3495173e-06
600.0,0.04984217509627342,-0.024999999999977263,500.0,0.04984217509627342,99.97500000000002,6.1418154e-06
500.0,0.01055454183369875,-0.049999999999954525,600.0,0.0009921120945364237,-100.0,2.2792062e-06
600.0,0.029805760830640793,-0.049999999999954525,500.0,0.029805760830640793,99.95000000000005,1.2054217e-06
,,,,,,9.873152e-07
,,,,,,1.4882373e-06
500.0,0.029401617124676704,-0.19999999999998863,,,,3.1682703e-06
600.0,0.02147572487592697,-0.25,,,,6.5600207e-06
,,,,,,7.576356e-06
600.0,0.024568945169448853,-0.35000000000002274,,,,5.273039e-06
500.0,0.013878628611564636,-0.39999999999997726,600.0,0.00014090299373492599,-0.39999999999997726,4.3616155e-06
600.0,0.019254272803664207,-0.4249999999999545,500.0,0.019254272803664207,99.57500000000005,6.501433e-06
500.0,0.015705253928899765,-0.4249999999999545,600.0,0.00015664473176002502,-0.4249999999999545,4.73433e-06
600.0,0.022952094674110413,-0.39999999999997726,500.0,0.022952094674110413,99.60000000000002,1.5168291e-06
500.0,0.060811303555965424,-0.39999999999997726,600.0,0.0006097879377193749,-0.39999999999997726,6.670519e-06
600.0,0.025745606049895287,-0.375,500.0,0.025745606049895287,99.625,4.81989e-07
500.0,0.013538740575313568,-0.375,600.0,0.00015114528650883585,-0.375,4.9332584e-06
600.0,0.01940184086561203,-0.375,500.0,0.01940184086561203,99.625,1.668127e-06
500.0,0.05669081583619118,-0.375,600.0,0.0004975029150955379,-0.375,1.1827614e-06
,,,,,,3.725613e-06
,,,,,,2.522217e-06
600.0,0.0685010701417923,-0.39999999999997726,500.0,0.0685010701417923,99.60000000000002,5.7424627e-06
500.0,0.058792054653167725,-0.4249999999999545,600.0,0.000586646725423634,-0.4249999999999545,5.589925e-06
600.0,0.07968661189079285,-0.4249999999999545,500.0,0.07968661189079285,99.57500000000005,6.050964e-06
500.0,0.023566249758005142,-0.39999999999997726,600.0,0.00025560101494193077,-0.39999999999997726,4.8807415e-06
600.0,0.09765231609344482,-0.39999999999997726,500.0,0.09765231609344482,99.60000000000002,5.4395946e-06
500.0,0.04437987133860588,-0.3499999999999659,600.0,0.0005577307310886681,-0.35000000000002274,5.1207535e-06
600.0,0.03158571198582649,-0.2999999999999545,500.0,0.03158571198582649,99.70000000000005,5.7479347e-06
500.0,0.02756023220717907,-0.27499999999997726,600.0,0.00025603920221328735,-0.27499999999997726,8.5495884e-07
600.0,0.052890680730342865,-0.22500000000002274,500.0,0.052890680730342865,99.77499999999998,6.2531e-06
500.0,0.04650707170367241,-0.19999999999998863,600.0,0.00042860221583396196,-0.1999999999999318,1.3729862e-06
600.0,0.004993593320250511,-0.17499999999995453,500.0,0.004993593320250511,99.82500000000005,1.0695961e-06
500.0,0.006521163042634726,-0.17499999999995453,600.0,4.408397580846213e-05,-0.14999999999997726,1.5496712e-06
,,,500.0,2.0900702111248393e-06,-20.19999999999999,3.3094464e-06
,,,500.0,1.402157522534253e-06,-20.049999999999955,9.3941986e-07
,,,500.0,1.06129584764858e-06,-20.25,3.541734e-07
,,,600.0,4.794213168679562e-07,-1.1499999999999773,2.4751338e-07
,,,500.0,4.815274792235869e-07,-20.224999999999966,5.8483954e-07
