DateTime,Tone_WWV,Tone_Magnitude_WWV,Noise_Floor_WWV,Tone_WWVH,Tone_Magnitude_WWVH,Noise_Floor_WWVH,Deviation_WWV,Deviation_WWVH
20250222T001900Z,600,0.0003122170202046393,0.00013348595174023282,,None,None,-0.3166666666667197,None
20250222T002000Z,500,0.00040364236358741664,0.0002491445429199238,600,6.523561091698693e-05,2.9012673888149082e-05,-0.3166666666666629,-0.3166666666667197
20250222T002100Z,600,0.0003580675910583947,0.0002634009628681286,500,6.1719798259933e-05,3.5105138006541006e-05,-0.283333333333303,-0.28333333333335986
20250222T002200Z,500,0.000343510017712923,0.00016753013487696866,600,5.035506366506527e-05,2.048318554958141e-05,-0.25,-0.25
20250222T002300Z,600,0.000570728960753043,0.00015865275439811953,500,9.780404105599044e-05,2.2056365966075133e-05,-0.20000000000004547,-0.19999999999998863
20250222T002400Z,500,0.0005415668182357188,0.00024534577128292897,600,8.575393217793255e-05,2.978418331356812e-05,-0.16666666666668561,-0.16666666666662877
20250222T002500Z,600,0.0003660798823610781,0.00019673265208161643,500,6.700138246281521e-05,2.801076959009688e-05,-0.14999999999997726,-0.1500000000000341
20250222T002600Z,500,0.0004291461925385135,0.00011234829647351032,600,7.543993755295231e-05,1.5169557443599562e-05,-0.13333333333332575,-0.13333333333332575
20250222T002700Z,600,0.00047866789297830047,0.0002059960825949378,500,8.407337035936283e-05,2.8162410914798464e-05,-0.11666666666667425,-0.11666666666667425
20250222T002800Z,500,0.00039328090084160056,0.00022991502059869348,600,6.824299329254961e-05,2.6083959098546016e-05,-0.11666666666667425,-0.11666666666667425
20250222T002900Z,,None,None,,None,None,None,None
20250222T003000Z,,None,None,,None,None,None,None
20250222T003100Z,600,0.00035303407052215686,0.00011066130261495201,500,5.984346824468417e-05,1.4448906444434384e-05,-0.06666666666671972,-0.06666666666666288
20250222T003200Z,500,0.00025468924986290353,0.00010602775297891054,600,4.279379082656426e-05,1.3907508390756187e-05,-0.05000000000001137,-0.049999999999954525
20250222T003300Z,600,0.00036583902277734573,0.00023720965508967098,500,6.638729889610004e-05,3.223795846422754e-05,-0.049999999999954525,-0.05000000000001137
20250222T003400Z,500,0.0004818736845192537,0.00020876295375276796,600,8.234102607265901e-05,2.697859331207881e-05,-0.05000000000001137,-0.049999999999954525
20250222T003500Z,600,0.00034655135001850003,0.00016944096591417916,500,6.585252709411857e-05,2.4010138107684565e-05,-0.06666666666671972,-0.06666666666666288
20250222T003600Z,500,0.0003058361770930993,0.00011511626817279917,600,5.1441783763578273e-05,1.5720850768819894e-05,-0.10000000000002274,-0.10000000000002274
20250222T003700Z,600,0.00025544372952803754,0.00025934898408843125,500,4.669606400523666e-05,3.5557987279307175e-05,-0.11666666666667425,-0.11666666666667425
20250222T003800Z,500,0.00031272960417257675,0.00011942362461088898,600,4.90858881943027e-05,1.2745185232977727e-05,-0.28333333333335986,-0.283333333333303
20250222T003900Z,600,0.0003434909444658861,0.00011101189666379959,500,6.488188265169191e-05,1.664742463849211e-05,-0.2333333333333485,-0.2333333333333485
20250222T004000Z,500,0.0003020160705436331,0.00014169850032267568,600,5.165445650789161e-05,1.7108661873888196e-05,-0.30000000000001137,-0.283333333333303
20250222T004100Z,600,0.00032151453747623367,8.977647630613485e-05,500,5.375524091624651e-05,1.6205440782553437e-05,-0.36666666666667425,-0.36666666666667425
20250222T004200Z,500,0.0003621735323197198,0.00011092147997015743,600,5.974429511758379e-05,1.4055151637490777e-05,-0.4000000000000341,-0.39999999999997726
20250222T004300Z,,None,None,500,4.031928310934658e-06,8.178968705482129e-06,None,-1.400000000000034
20250222T004400Z,,None,None,500,5.109461501557245e-06,1.1694559609234076e-05,None,-0.4000000000000341
20250222T004500Z,,None,None,500,5.32248729673692e-06,8.281481035362816e-06,None,-0.38333333333332575
20250222T004600Z,,None,None,600,3.4687189154878474e-06,6.6185394430953804e-06,None,-0.36666666666667425
20250222T004700Z,,None,None,500,5.944876252294765e-06,8.446878723409895e-06,None,-0.35000000000002274
20250222T004800Z,,None,None,500,4.5602652676304065e-06,1.1261127178428144e-05,None,-1.3166666666666629
20250222T004900Z,,None,None,500,5.150406974456111e-06,8.678327451965468e-06,None,-0.28333333333335986
20250222T005000Z,,None,None,500,5.122345449267221e-06,6.3848901552389925e-06,None,-0.18333333333333712
20250222T005100Z,,None,None,500,5.9037834006247495e-06,7.524080425716628e-06,None,-0.13333333333332575
20250222T005200Z,500,3.0690472765557478e-06,5.125018583321269e-06,600,2.569734801108271e-06,3.744496856887257e-06,-1.1166666666666742,-0.11666666666667425
20250222T005300Z,600,0.00038369889861795606,0.00021033374574430517,500,7.003002108362007e-05,2.8378640029866913e-05,-0.11666666666667425,-0.11666666666667425
20250222T005400Z,500,0.00037677824620747257,0.0001561156917804373,600,6.240617946088078e-05,2.156108417641838e-05,-0.13333333333332575,-0.13333333333332575
20250222T005500Z,600,0.0002497484835194887,0.00011221935859529631,500,4.592354163363365e-05,1.311887131776503e-05,-0.13333333333332575,-0.13333333333332575
20250222T005600Z,500,0.00017546000135600808,9.536496059513192e-05,600,3.0276927445423417e-05,1.3248514130142943e-05,-0.1500000000000341,-0.14999999999997726
